Target	Ref	Chr	Pos
M_3358	Tif1	A09	100792426
M_3359	Tif1	A09	101528639
M_3360	Tif1	A09	101963398
M_3361	Tif1	A09	102375327
M_3365	Tif1	A09	103720102
M_3367	Tif1	A09	104828216
M_3371	Tif1	A09	106059491
M_3374	Tif1	A09	108225668
M_3375	Tif1	A09	108734192
M_3376	Tif1	A09	108734258
M_3381	Tif1	A09	109472901
M_3382	Tif1	A09	109593337
M_3384	Tif1	A09	110249817
M_3392	Tif1	A09	111403613
M_3401	Tif1	A09	112932716
M_3403	Tif1	A09	113175666
K_4	Tif1	A09	114195009
T_110	Tif1	A09	114195601
M_3415	Tif1	A09	114318150
M_3417	Tif1	A09	114654199
M_3419	Tif1	A09	114966251
T_111	Tif1	A09	115120725
M_3423	Tif1	A09	116015876
M_3425	Tif1	A09	116299991
M_3428	Tif1	A09	116843199
M_3429	Tif1	A09	116846642
M_3431	Tif1	A09	117468791
M_7446	Tif1	A09	117716264
T_112	Tif1	A09	117934344
M_3434	Tif1	A09	118230107
T_116	Tif1	A09	118557692
M_786	Tif1	A09	119173612
T_118	Tif1	A09	119313461
T_119	Tif1	A09	119341015
T_120	Tif1	A09	119341092
T_121	Tif1	A09	119341328
M_3442	Tif1	A09	120179443
M_3443	Tif1	A09	120362604
M_3448	Tif1	A10	1013472
T_122	Tif1	A10	1018219
M_3454	Tif1	A10	2055759
M_3455	Tif1	A10	2066027
M_3456	Tif1	A10	2188029
M_3458	Tif1	A10	2416697
M_3459	Tif1	A10	2443490
M_3460	Tif1	A10	2564379
M_3462	Tif1	A10	2981198
M_3465	Tif1	A10	3177516
M_3467	Tif1	A10	3425497
M_3487	Tif1	A10	9016277
M_3488	Tif1	A10	9124974
M_3489	Tif1	A10	9387414
M_3490	Tif1	A10	10235767
M_3492	Tif1	A10	10614852
M_3494	Tif1	A10	10648744
T_123	Tif1	A10	11403593
M_3496	Tif1	A10	11865174
M_3612	Tif1	A10	16033530
M_3504	Tif1	A10	16849318
M_3513	Tif1	A10	18557916
M_3508	Tif1	A10	19667217
M_3510	Tif1	A10	21253617
M_3509	Tif1	A10	21270235
M_3514	Tif1	A10	22192585
M_3517	Tif1	A10	24179477
M_3528	Tif1	A10	27118704
M_3527	Tif1	A10	27135366
M_3526	Tif1	A10	27482953
M_3523	Tif1	A10	29712079
M_3560	Tif1	A10	31448382
M_3559	Tif1	A10	33225112
M_3534	Tif1	A10	40967854
M_3549	Tif1	A10	48023864
M_3593	Tif1	A10	52051165
M_3555	Tif1	A10	62953523
M_3547	Tif1	A10	64046535
M_3521	Tif1	A10	76295261
M_3564	Tif1	A10	77372107
M_3565	Tif1	A10	77744938
M_3569	Tif1	A10	78508833
M_3576	Tif1	A10	80364209
M_3578	Tif1	A10	83288615
M_3581	Tif1	A10	85420046
M_3583	Tif1	A10	85713404
M_3587	Tif1	A10	88036369
M_3589	Tif1	A10	88954732
M_3590	Tif1	A10	89862846
M_3595	Tif1	A10	92390707
M_3597	Tif1	A10	93410053
M_3602	Tif1	A10	95713083
M_3605	Tif1	A10	98052342
T_125	Tif1	A10	99937617
M_3611	Tif1	A10	101194712
M_3614	Tif1	A10	103034253
M_3616	Tif1	A10	103120884
M_3617	Tif1	A10	103262415
M_3618	Tif1	A10	103546089
M_3619	Tif1	A10	104103834
M_3622	Tif1	A10	106349433
M_3623	Tif1	A10	106694243
M_3624	Tif1	A10	106766373
M_3625	Tif1	A10	106915561
M_3628	Tif1	A10	107812243
M_3629	Tif1	A10	108092525
T_126	Tif1	A10	110204232
T_127	Tif1	A10	112591069
M_3644	Tif1	A10	113599578
T_128	Tif1	A10	114229098
M_3646	Tif1	A10	114542765
M_3663	Tif1	B01	341312
M_69	Tif1	B01	619136
M_3661	Tif1	B01	979361
T_129	Tif1	B01	1103900
M_3659	Tif1	B01	1473843
M_3668	Tif1	B01	3166654
M_3669	Tif1	B01	3273887
M_3679	Tif1	B01	5453205
M_3691	Tif1	B01	8184496
M_3698	Tif1	B01	9708379
M_3700	Tif1	B01	9972884
M_3703	Tif1	B01	10707964
M_3709	Tif1	B01	11999067
M_3712	Tif1	B01	13170892
M_3716	Tif1	B01	14954483
M_3719	Tif1	B01	15311305
M_3723	Tif1	B01	17577945
M_3728	Tif1	B01	18402187
M_3738	Tif1	B01	19882463
M_3739	Tif1	B01	19945911
M_3755	Tif1	B01	23324492
M_3781	Tif1	B01	27932161
M_3774	Tif1	B01	30190121
M_3763	Tif1	B01	31763906
M_3759	Tif1	B01	34221146
M_3798	Tif1	B01	34654450
M_3799	Tif1	B01	35136104
M_3808	Tif1	B01	39108456
M_3809	Tif1	B01	39112629
M_3811	Tif1	B01	39404710
M_3814	Tif1	B01	41059292
M_3816	Tif1	B01	42461953
T_131	Tif1	B01	43022868
M_3828	Tif1	B01	49864330
M_3832	Tif1	B01	53777875
M_3844	Tif1	B01	62188541
M_3848	Tif1	B01	65100555
M_3849	Tif1	B01	65270689
M_3859	Tif1	B01	78595297
M_3862	Tif1	B01	88217714
M_3868	Tif1	B01	107182330
M_3871	Tif1	B01	110673869
M_3877	Tif1	B01	112921165
M_3897	Tif1	B01	123554820
M_3899	Tif1	B01	123753613
M_3926	Tif1	B01	134283364
M_3927	Tif1	B01	134289511
M_3929	Tif1	B01	134378827
M_3930	Tif1	B01	134602678
T_132	Tif1	B01	134894754
M_459	Tif1	B01	135293599
M_3935	Tif1	B01	136103391
M_3937	Tif1	B01	136415260
M_3939	Tif1	B01	136920294
M_3940	Tif1	B01	136971671
M_3942	Tif1	B01	137063914
M_3945	Tif1	B01	137917435
M_3948	Tif1	B01	139627709
M_3949	Tif1	B01	139657732
M_3952	Tif1	B01	140070095
M_3955	Tif1	B01	140969458
M_3957	Tif1	B01	141235080
T_133	Tif1	B01	142206451
M_3965	Tif1	B01	142674408
M_3968	Tif1	B01	142920819
M_3969	Tif1	B01	142947717
M_3972	Tif1	B01	143666987
M_3982	Tif1	B01	145815597
M_3984	Tif1	B01	146025452
M_3985	Tif1	B01	146108264
M_3990	Tif1	B01	147086265
M_3991	Tif1	B01	147167475
M_3994	Tif1	B01	147487968
M_3995	Tif1	B01	147545387
M_3998	Tif1	B01	147594677
M_4000	Tif1	B01	147767677
M_4001	Tif1	B01	148189740
M_4009	Tif1	B01	149168580
M_4042	Tif1	B02	3423941
M_4043	Tif1	B02	3424320
M_4068	Tif1	B02	4505791
M_4069	Tif1	B02	5385295
M_4078	Tif1	B02	5740949
T_135	Tif1	B02	6998197
M_4094	Tif1	B02	7513366
M_4095	Tif1	B02	7700175
M_4101	Tif1	B02	8747160
M_584	Tif1	B02	9047749
M_585	Tif1	B02	9047760
T_137	Tif1	B02	9120933
M_588	Tif1	B02	9852815
M_4106	Tif1	B02	11127560
M_591	Tif1	B02	11582358
M_4108	Tif1	B02	11973116
M_4112	Tif1	B02	13383385
M_4114	Tif1	B02	13978134
M_4115	Tif1	B02	14053810
M_4120	Tif1	B02	15156969
M_4132	Tif1	B02	20791460
M_4133	Tif1	B02	20976006
M_4142	Tif1	B02	25577876
T_139	Tif1	B02	25726784
M_4148	Tif1	B02	29371379
M_4151	Tif1	B02	31225017
M_4159	Tif1	B02	37010196
M_4155	Tif1	B02	39451374
M_4175	Tif1	B02	41156926
M_4176	Tif1	B02	41158037
M_4166	Tif1	B02	50951590
M_4172	Tif1	B02	58142747
M_4180	Tif1	B02	62556925
M_4163	Tif1	B02	66027967
M_6600	Tif1	B02	69827493
M_6606	Tif1	B02	71827538
M_4195	Tif1	B02	75180236
M_4194	Tif1	B02	75245647
M_4190	Tif1	B02	77123647
M_4185	Tif1	B02	81462578
M_4202	Tif1	B02	83094482
M_4200	Tif1	B02	83647269
M_4199	Tif1	B02	85550328
M_4205	Tif1	B02	86770534
M_702	Tif1	B02	88570542
M_703	Tif1	B02	88570569
M_706	Tif1	B02	88571391
M_707	Tif1	B02	88572720
M_708	Tif1	B02	88572822
M_709	Tif1	B02	88573157
M_704	Tif1	B02	88650527
M_705	Tif1	B02	88650539
M_4213	Tif1	B02	89776782
M_4217	Tif1	B02	92740526
M_4218	Tif1	B02	92741276
M_4220	Tif1	B02	93172858
M_4222	Tif1	B02	93338478
M_4229	Tif1	B02	95052620
M_4230	Tif1	B02	95209522
M_4237	Tif1	B02	96329476
T_142	Tif1	B02	97895379
M_4238	Tif1	B02	97914896
M_749	Tif1	B02	101147105
M_4246	Tif1	B02	102758350
M_4252	Tif1	B02	104885816
M_4254	Tif1	B02	104982988
M_4258	Tif1	B02	105892355
M_4259	Tif1	B02	105953737
M_4260	Tif1	B02	106209951
M_4262	Tif1	B02	106353710
M_4263	Tif1	B02	106410009
M_4264	Tif1	B02	106456731
M_4266	Tif1	B02	107803425
M_4267	Tif1	B02	107995111
M_4269	Tif1	B02	108160894
M_4270	Tif1	B02	108615348
M_4283	Tif1	B02	111394861
M_4293	Tif1	B02	112838339
T_143	Tif1	B02	113429726
M_4309	Tif1	B02	116572714
M_4313	Tif1	B02	117097620
M_4314	Tif1	B02	117190746
M_816	Tif1	B02	117768067
M_4327	Tif1	B03	751798
M_4334	Tif1	B03	2047384
M_4337	Tif1	B03	2442200
M_830	Tif1	B03	2981681
M_4343	Tif1	B03	3184872
M_4344	Tif1	B03	3247472
M_4346	Tif1	B03	3473744
T_144	Tif1	B03	3615216
M_4353	Tif1	B03	4284379
M_4354	Tif1	B03	4352233
M_4355	Tif1	B03	4407662
M_4362	Tif1	B03	5918202
M_4367	Tif1	B03	6511099
M_4371	Tif1	B03	7032624
M_4378	Tif1	B03	8494709
M_4392	Tif1	B03	12372493
M_4394	Tif1	B03	13196362
M_4398	Tif1	B03	13825634
M_4402	Tif1	B03	14174136
M_4403	Tif1	B03	14465085
M_4404	Tif1	B03	14980090
M_4408	Tif1	B03	16011929
T_145	Tif1	B03	17930951
M_4409	Tif1	B03	18400785
M_4412	Tif1	B03	21064838
T_146	Tif1	B03	23252478
T_147	Tif1	B03	23777587
M_4420	Tif1	B03	24673435
M_4422	Tif1	B03	25901264
M_4423	Tif1	B03	25918208
M_4427	Tif1	B03	26392720
M_4439	Tif1	B03	29688225
M_4444	Tif1	B03	31038549
M_4446	Tif1	B03	31140523
M_4448	Tif1	B03	32379186
M_952	Tif1	B03	33605187
M_4455	Tif1	B03	33744364
M_4460	Tif1	B03	34852834
M_4464	Tif1	B03	36348158
T_148	Tif1	B03	39648308
M_985	Tif1	B03	40007183
M_986	Tif1	B03	40007583
M_4477	Tif1	B03	40010133
M_4478	Tif1	B03	40010138
M_4486	Tif1	B03	42402103
M_4488	Tif1	B03	43064949
M_4489	Tif1	B03	43801989
M_4492	Tif1	B03	45508542
M_4493	Tif1	B03	45899408
M_4499	Tif1	B03	50199394
M_4506	Tif1	B03	53352498
M_4521	Tif1	B03	54663162
M_4523	Tif1	B03	55221309
M_4527	Tif1	B03	56770939
M_4518	Tif1	B03	61488957
M_4515	Tif1	B03	73123758
M_4512	Tif1	B03	77117343
M_4533	Tif1	B03	86951361
M_4546	Tif1	B03	102252178
M_4547	Tif1	B03	104653822
M_4549	Tif1	B03	106096172
M_4551	Tif1	B03	107402135
M_4552	Tif1	B03	107402971
M_4554	Tif1	B03	107548085
M_4565	Tif1	B03	116591113
M_4566	Tif1	B03	116596756
M_4569	Tif1	B03	117595578
T_150	Tif1	B03	118962851
T_151	Tif1	B03	119048142
M_4576	Tif1	B03	119859823
M_4577	Tif1	B03	119898471
M_4578	Tif1	B03	120164689
M_4580	Tif1	B03	120984388
M_4590	Tif1	B03	123364561
M_4596	Tif1	B03	125105386
M_1537	Tif1	B03	126799182
M_4604	Tif1	B03	127197517
T_152	Tif1	B03	127372161
M_4628	Tif1	B03	133796852
T_153	Tif1	B03	134543193
M_4632	Tif1	B03	135248682
M_4639	Tif1	B03	136542045
M_4646	Tif1	B03	139001175
M_1234	Tif1	B03	139611369
M_4653	Tif1	B03	140422283
M_4658	Tif1	B03	142303450
M_4662	Tif1	B03	142713119
M_4663	Tif1	B03	142783064
M_4670	Tif1	B03	143289747
M_4674	Tif1	B03	143728553
M_4675	Tif1	B03	144059359
M_4679	Tif1	B03	144372816
M_4680	Tif1	B03	144529039
M_4681	Tif1	B03	144580276
M_4682	Tif1	B03	144649811
M_4683	Tif1	B03	144665858
M_4689	Tif1	B03	145617927
M_4691	Tif1	B03	145703377
T_154	Tif1	B03	146207063
M_4694	Tif1	B04	67550
M_4696	Tif1	B04	384327
M_4705	Tif1	B04	1327517
M_4706	Tif1	B04	1341662
M_4709	Tif1	B04	2331379
M_1285	Tif1	B04	2362663
M_4710	Tif1	B04	2415293
M_4715	Tif1	B04	3699562
M_4716	Tif1	B04	3795707
M_4717	Tif1	B04	3919001
M_4720	Tif1	B04	5236656
M_4738	Tif1	B04	5862536
M_4740	Tif1	B04	6039543
M_4748	Tif1	B04	8330102
M_4755	Tif1	B04	9678001
M_4756	Tif1	B04	9678008
M_4757	Tif1	B04	9678018
T_156	Tif1	B04	10205646
M_4762	Tif1	B04	11012596
M_4767	Tif1	B04	11699480
M_4786	Tif1	B04	18415759
T_158	Tif1	B04	20317791
M_4791	Tif1	B04	20446682
M_4793	Tif1	B04	21051633
M_4803	Tif1	B04	22687862
M_4805	Tif1	B04	22779673
M_4833	Tif1	B04	23781742
M_4832	Tif1	B04	23782449
M_4807	Tif1	B04	24611132
M_4811	Tif1	B04	26016727
T_159	Tif1	B04	26398883
M_4812	Tif1	B04	26539208
M_4815	Tif1	B04	28349355
M_4816	Tif1	B04	28680576
M_4850	Tif1	B04	39200837
M_4855	Tif1	B04	42855953
M_4878	Tif1	B04	53320604
M_4875	Tif1	B04	54554133
M_4873	Tif1	B04	55968161
M_1495	Tif1	B04	90187286
M_4895	Tif1	B04	91805656
M_4890	Tif1	B04	94627734
M_4889	Tif1	B04	94691905
M_4886	Tif1	B04	97235785
M_4912	Tif1	B04	99378909
T_160	Tif1	B04	100487569
M_4918	Tif1	B04	102546313
M_4919	Tif1	B04	104171399
M_4926	Tif1	B04	107680537
M_4933	Tif1	B04	109894066
M_4935	Tif1	B04	111027834
M_4941	Tif1	B04	114706569
M_4944	Tif1	B04	115940006
M_4949	Tif1	B04	117407857
M_4950	Tif1	B04	117726025
T_162	Tif1	B04	120368166
M_4961	Tif1	B04	120605947
M_4962	Tif1	B04	121391925
M_4963	Tif1	B04	122224469
M_4964	Tif1	B04	122226941
M_4830	Tif1	B04	122417152
M_4831	Tif1	B04	122431428
M_4966	Tif1	B04	123670605
M_4973	Tif1	B04	125635651
M_4977	Tif1	B04	127652797
M_4979	Tif1	B04	128019024
M_4987	Tif1	B04	131195548
M_4988	Tif1	B04	132565594
M_4989	Tif1	B04	132798382
M_4990	Tif1	B04	133137501
M_4992	Tif1	B04	133530089
M_4995	Tif1	B04	134055020
M_4996	Tif1	B04	134095643
T_163	Tif1	B04	134617992
M_5001	Tif1	B04	134865815
M_1642	Tif1	B04	135095239
M_5007	Tif1	B04	135476416
T_167	Tif1	B04	136490679
M_1664	Tif1	B04	138044213
M_5027	Tif1	B04	139985818
M_5034	Tif1	B04	140382543
M_5088	Tif1	B05	6368114
M_1801	Tif1	B05	7729474
M_5110	Tif1	B05	10892861
M_5118	Tif1	B05	12492622
M_5121	Tif1	B05	13866027
M_5124	Tif1	B05	14504512
M_5125	Tif1	B05	14674060
M_5127	Tif1	B05	15827222
M_5128	Tif1	B05	15873953
M_5143	Tif1	B05	20070166
T_202	Tif1	B05	20445844
M_5146	Tif1	B05	20991128
M_5153	Tif1	B05	22207384
M_5154	Tif1	B05	22209023
M_5156	Tif1	B05	22328311
M_5157	Tif1	B05	22328432
M_5169	Tif1	B05	25986534
M_5173	Tif1	B05	26253626
M_5176	Tif1	B05	26395783
M_5177	Tif1	B05	26420362
M_5178	Tif1	B05	26420371
M_5179	Tif1	B05	26420548
M_1877	Tif1	B05	26458583
M_5180	Tif1	B05	26459559
M_5181	Tif1	B05	26459565
M_5183	Tif1	B05	26509153
M_1879	Tif1	B05	26510830
M_5184	Tif1	B05	26537430
M_5185	Tif1	B05	26537582
M_5186	Tif1	B05	26539241
M_1881	Tif1	B05	26546892
M_5194	Tif1	B05	28718027
M_5196	Tif1	B05	28897252
M_5206	Tif1	B05	33582000
M_5244	Tif1	B05	46231186
M_1976	Tif1	B05	65558998
M_5253	Tif1	B05	82736387
M_5259	Tif1	B05	103986928
M_5263	Tif1	B05	113173373
M_5264	Tif1	B05	113185009
M_5266	Tif1	B05	113286550
M_5267	Tif1	B05	113313214
M_2197	Tif1	B05	121648036
M_5281	Tif1	B05	122496711
M_5282	Tif1	B05	122501655
M_5283	Tif1	B05	122828477
M_5285	Tif1	B05	123643086
M_5292	Tif1	B05	126138901
M_5295	Tif1	B05	126908324
M_5297	Tif1	B05	128083264
M_2169	Tif1	B05	128743449
M_5302	Tif1	B05	129353963
M_5303	Tif1	B05	129710112
M_5310	Tif1	B05	131719118
M_5313	Tif1	B05	132119570
M_5315	Tif1	B05	132410059
M_5316	Tif1	B05	132587122
T_203	Tif1	B05	133062202
M_5320	Tif1	B05	133065782
T_204	Tif1	B05	133171159
M_5323	Tif1	B05	133621802
M_5324	Tif1	B05	133991032
M_3093	Tif1	B05	134940103
T_205	Tif1	B05	134986549
M_5330	Tif1	B05	136141250
M_5332	Tif1	B05	136550673
M_5335	Tif1	B05	136956484
M_5336	Tif1	B05	137323997
M_5341	Tif1	B05	139739748
M_5342	Tif1	B05	139773367
M_5344	Tif1	B05	140698881
M_5351	Tif1	B05	143098797
M_5358	Tif1	B05	144951979
M_5363	Tif1	B05	145796577
M_5370	Tif1	B05	147295970
M_5372	Tif1	B05	147488750
M_5375	Tif1	B05	147840602
M_5392	Tif1	B05	150398129
M_5403	Tif1	B05	152738173
T_206	Tif1	B05	152892497
M_5407	Tif1	B05	155351931
M_5412	Tif1	B05	156582115
T_208	Tif1	B05	160259103
M_5423	Tif1	B05	160510602
M_5426	Tif1	B05	160728457
T_209	Tif1	B05	160731516
M_5429	Tif1	B06	32927
M_5430	Tif1	B06	55282
M_5431	Tif1	B06	364732
M_5433	Tif1	B06	720416
M_5445	Tif1	B06	2159719
M_5446	Tif1	B06	2324090
M_5447	Tif1	B06	2340001
M_5451	Tif1	B06	6356497
M_5452	Tif1	B06	6452811
M_5456	Tif1	B06	7104081
M_5460	Tif1	B06	7788722
M_5461	Tif1	B06	8140090
M_5464	Tif1	B06	8733295
M_5470	Tif1	B06	9170964
M_5473	Tif1	B06	9840817
M_5476	Tif1	B06	10333624
M_5479	Tif1	B06	11585546
M_5485	Tif1	B06	12416013
M_5486	Tif1	B06	12420064
M_5487	Tif1	B06	12425067
M_5490	Tif1	B06	13012656
M_5493	Tif1	B06	13221801
M_5495	Tif1	B06	13560905
M_5499	Tif1	B06	14583403
M_5501	Tif1	B06	15016242
M_5503	Tif1	B06	15356860
M_5505	Tif1	B06	15909479
M_5506	Tif1	B06	15980824
M_5507	Tif1	B06	16304139
M_5513	Tif1	B06	16852298
M_5514	Tif1	B06	16930624
M_5516	Tif1	B06	16946317
M_5519	Tif1	B06	17374158
M_5521	Tif1	B06	18564317
M_5522	Tif1	B06	19002451
M_5523	Tif1	B06	19119097
T_210	Tif1	B06	19172211
M_5525	Tif1	B06	19895488
M_5527	Tif1	B06	20050831
M_5529	Tif1	B06	20241804
M_5538	Tif1	B06	22214152
M_5547	Tif1	B06	23461075
M_5550	Tif1	B06	24709249
M_5552	Tif1	B06	25191838
M_5553	Tif1	B06	25758049
M_5555	Tif1	B06	27316954
M_5567	Tif1	B06	30175726
M_5569	Tif1	B06	30895083
M_5575	Tif1	B06	32833039
M_5577	Tif1	B06	33670031
M_5578	Tif1	B06	33921277
M_5582	Tif1	B06	34908039
M_5586	Tif1	B06	36385927
M_5590	Tif1	B06	37070569
M_5592	Tif1	B06	37123012
M_5598	Tif1	B06	38906223
M_5599	Tif1	B06	39140591
M_5602	Tif1	B06	39526587
M_5607	Tif1	B06	43478970
M_5608	Tif1	B06	43537627
M_5609	Tif1	B06	43850485
M_5610	Tif1	B06	43856640
M_5612	Tif1	B06	44729148
M_5617	Tif1	B06	48201849
M_5632	Tif1	B06	56819830
M_5638	Tif1	B06	67552038
M_5635	Tif1	B06	69500763
M_5643	Tif1	B06	77306508
M_5642	Tif1	B06	77306744
M_5647	Tif1	B06	80438996
M_5649	Tif1	B06	80906397
M_5652	Tif1	B06	84985152
M_5664	Tif1	B06	98324347
M_5665	Tif1	B06	99275400
M_5668	Tif1	B06	105361311
M_5671	Tif1	B06	107473305
M_5672	Tif1	B06	107783925
M_5673	Tif1	B06	108290107
M_5676	Tif1	B06	110520471
M_5691	Tif1	B06	112058313
M_5687	Tif1	B06	113170613
M_5686	Tif1	B06	113202233
M_5685	Tif1	B06	113372187
M_5684	Tif1	B06	113372912
M_5683	Tif1	B06	113502473
M_5680	Tif1	B06	113630759
M_5694	Tif1	B06	116321700
M_5695	Tif1	B06	116460643
M_5697	Tif1	B06	116601073
M_5699	Tif1	B06	116836513
M_5703	Tif1	B06	117181187
M_5708	Tif1	B06	118465852
M_5718	Tif1	B06	121392527
M_5722	Tif1	B06	121721993
M_5729	Tif1	B06	124193100
M_5730	Tif1	B06	124223659
M_5733	Tif1	B06	124852195
M_5734	Tif1	B06	124989190
M_5739	Tif1	B06	126591151
M_5740	Tif1	B06	127169315
M_5743	Tif1	B06	127655933
M_5744	Tif1	B06	127797583
M_5746	Tif1	B06	127806573
M_5747	Tif1	B06	127837919
M_5754	Tif1	B06	129433944
M_5755	Tif1	B06	129673949
M_5756	Tif1	B06	130109322
M_5765	Tif1	B06	131321842
M_5768	Tif1	B06	131535334
M_5775	Tif1	B06	132606011
M_5780	Tif1	B06	133161421
M_5787	Tif1	B06	133920426
M_5788	Tif1	B06	134224513
M_5789	Tif1	B06	134388919
M_5791	Tif1	B06	135069169
M_5794	Tif1	B06	135679089
M_5802	Tif1	B06	136385270
M_5806	Tif1	B06	136754965
M_5807	Tif1	B06	136978647
M_5810	Tif1	B06	137136088
M_5816	Tif1	B06	138015070
M_5820	Tif1	B06	138403388
M_5825	Tif1	B06	139326362
M_5828	Tif1	B06	139929732
M_5838	Tif1	B06	141717609
M_5841	Tif1	B06	142362844
M_5843	Tif1	B06	142442927
M_5844	Tif1	B06	142442967
M_5845	Tif1	B06	142608108
M_5846	Tif1	B06	142745867
M_5849	Tif1	B06	143652321
M_5850	Tif1	B06	143727940
M_2580	Tif1	B06	144239261
M_2582	Tif1	B06	144846798
M_2583	Tif1	B06	144914567
M_2588	Tif1	B06	146171794
M_5856	Tif1	B06	147810709
M_2596	Tif1	B06	147821736
M_5859	Tif1	B06	148438247
T_216	Tif1	B06	149017909
T_217	Tif1	B06	149018005
T_218	Tif1	B06	149018128
M_5862	Tif1	B06	149251830
M_2669	Tif1	B07	1436908
T_253	Tif1	B07	1999861
M_5915	Tif1	B07	2277118
M_5923	Tif1	B07	2852995
M_5924	Tif1	B07	2853004
M_5927	Tif1	B07	3163964
M_5935	Tif1	B07	4058966
M_5939	Tif1	B07	5232883
M_5943	Tif1	B07	6071673
M_5944	Tif1	B07	6782734
M_5946	Tif1	B07	7408595
M_5947	Tif1	B07	7419479
T_256	Tif1	B07	7649321
M_5949	Tif1	B07	7831697
M_5951	Tif1	B07	8410605
M_5952	Tif1	B07	8893407
M_5955	Tif1	B07	9333008
M_5958	Tif1	B07	10477578
M_5961	Tif1	B07	10911028
M_5971	Tif1	B07	12459964
M_5975	Tif1	B07	12825114
M_5976	Tif1	B07	12855329
M_5982	Tif1	B07	13542668
M_5984	Tif1	B07	13882646
M_5986	Tif1	B07	14054791
M_5993	Tif1	B07	15898478
M_2762	Tif1	B07	18909008
M_6183	Tif1	B07	18909008
M_6004	Tif1	B07	19704709
M_6009	Tif1	B07	20536169
M_6010	Tif1	B07	20668373
M_6015	Tif1	B07	21236952
M_6018	Tif1	B07	21243903
M_6020	Tif1	B07	21252623
M_6021	Tif1	B07	21252902
M_6023	Tif1	B07	21258008
M_6024	Tif1	B07	21286284
M_6025	Tif1	B07	21286342
M_6031	Tif1	B07	21672891
M_6032	Tif1	B07	21672950
M_6033	Tif1	B07	21673105
M_6034	Tif1	B07	21673143
M_6035	Tif1	B07	21673344
M_6036	Tif1	B07	21673526
M_6037	Tif1	B07	21673722
M_6038	Tif1	B07	21673837
M_6039	Tif1	B07	21673942
M_6040	Tif1	B07	21673993
M_6042	Tif1	B07	21674224
M_6043	Tif1	B07	21674255
M_6044	Tif1	B07	21674891
M_6045	Tif1	B07	21675024
M_6046	Tif1	B07	21675165
M_6048	Tif1	B07	21675739
M_6049	Tif1	B07	21675777
M_6050	Tif1	B07	21675875
M_6051	Tif1	B07	21675880
M_6053	Tif1	B07	21677068
M_6054	Tif1	B07	21677264
M_6055	Tif1	B07	21677360
M_6056	Tif1	B07	21677367
M_6057	Tif1	B07	21677819
M_6059	Tif1	B07	21678161
M_6061	Tif1	B07	21678294
M_6062	Tif1	B07	21678322
M_6063	Tif1	B07	21678537
M_6068	Tif1	B07	22415820
M_6073	Tif1	B07	23995682
M_6077	Tif1	B07	25579070
M_6080	Tif1	B07	26146224
M_6085	Tif1	B07	27132303
M_6089	Tif1	B07	27852993
M_6097	Tif1	B07	28791729
M_6101	Tif1	B07	29847146
M_6106	Tif1	B07	30412032
M_6111	Tif1	B07	31222865
M_6112	Tif1	B07	31485697
M_6114	Tif1	B07	31660473
M_6118	Tif1	B07	31972882
M_6129	Tif1	B07	35152549
M_6133	Tif1	B07	35735840
M_6134	Tif1	B07	35839112
M_6171	Tif1	B07	46051649
M_6186	Tif1	B07	54040724
M_6180	Tif1	B07	55236906
M_6181	Tif1	B07	57058294
M_6188	Tif1	B07	58534165
M_6196	Tif1	B07	67471871
M_6198	Tif1	B07	70230604
M_6207	Tif1	B07	98071045
M_6206	Tif1	B07	99636902
M_6211	Tif1	B07	102486871
M_6214	Tif1	B07	102693533
M_6216	Tif1	B07	103106859
M_6217	Tif1	B07	105162382
M_6218	Tif1	B07	105412979
M_6219	Tif1	B07	105560044
M_6220	Tif1	B07	105903801
M_6221	Tif1	B07	106794407
M_6222	Tif1	B07	106931761
M_6224	Tif1	B07	107121125
M_6228	Tif1	B07	107321081
M_6229	Tif1	B07	108315010
M_6230	Tif1	B07	109259858
M_6231	Tif1	B07	109417007
M_6232	Tif1	B07	109419148
M_6234	Tif1	B07	109434518
M_6237	Tif1	B07	109485832
M_6238	Tif1	B07	109560805
M_6240	Tif1	B07	109692510
M_6241	Tif1	B07	110340857
M_6242	Tif1	B07	110447306
M_6246	Tif1	B07	110896222
M_6247	Tif1	B07	111508798
M_6249	Tif1	B07	111794840
M_6251	Tif1	B07	112333587
M_6256	Tif1	B07	113456288
M_6257	Tif1	B07	113523048
M_6258	Tif1	B07	113601124
M_6260	Tif1	B07	113850151
M_6261	Tif1	B07	113878187
M_6262	Tif1	B07	113878774
M_6263	Tif1	B07	114354969
M_6266	Tif1	B07	114750520
M_6273	Tif1	B07	118066780
M_6274	Tif1	B07	118188347
M_6276	Tif1	B07	118620833
M_6278	Tif1	B07	118765811
M_6281	Tif1	B07	119107494
M_6282	Tif1	B07	119141303
M_6290	Tif1	B07	120457584
M_6295	Tif1	B07	121083481
M_6296	Tif1	B07	121230152
M_6303	Tif1	B07	123038344
M_6305	Tif1	B07	123365657
M_6306	Tif1	B07	123543689
M_6307	Tif1	B07	123587699
M_6308	Tif1	B07	123795671
M_6310	Tif1	B07	125662626
M_6311	Tif1	B07	125841731
M_1700	Tif1	B07	126100196
M_6312	Tif1	B07	126141918
M_6316	Tif1	B07	126300274
M_6319	Tif1	B07	126576910
M_6323	Tif1	B07	126736975
M_6324	Tif1	B07	126799315
M_6327	Tif1	B07	127278122
M_6328	Tif1	B07	127985313
